capture_id,label,label_name,Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SSH,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
C_i1800_j0,0,benign_external,147.8,6,0.0,8452.849657396211,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,66.0,511.0,147.8,160.8383038955584,1478.0,0.00013144810994466147,10.0,25868.96
C_i1800_j0,0,benign,4996.04347826087,6,0.0,15353.969759668948,1.0,1.0,0.0,0.0,1.0,0.0,0.0,22.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114909.0,66.0,31922.0,4996.04347826087,7863.967349650589,114909.0,6.809017874977805e-05,23.0,61841982.47637051
C_i1800_j0,0,benign_external,175.8,6,0.0,146.29949109326003,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1758.0,66.0,791.0,175.8,230.7902944233141,1758.0,0.007594770855373806,10.0,53264.16
C_i1800_j0,0,benign_external,147.8,6,0.0,4696.868980963046,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,66.0,511.0,147.8,160.8383038955584,1478.0,0.000236564212375217,10.0,25868.96
C_i1800_j0,0,benign,2303.0,6,0.0,11144.803679100663,1.0,1.0,0.0,0.0,1.0,0.0,0.0,25.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59878.0,66.0,14546.0,2303.0,4032.0932528898684,59878.0,9.331703186035156e-05,26.0,16257776.0
C_i1800_j0,0,benign,108.9,6,0.0,18691.19429590018,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1089.0,66.0,306.0,108.9,83.21832730835197,1089.0,5.9445699055989586e-05,10.0,6925.29
C_i1800_j0,0,benign_external,147.8,6,0.0,4424.838063086823,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,66.0,511.0,147.8,160.8383038955584,1478.0,0.0002511077457004123,10.0,25868.96
C_i1800_j0,0,benign,113.1,6,0.0,6574.144200626959,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1131.0,66.0,347.0,113.1,93.37071275298267,1131.0,0.0001690122816297743,10.0,8718.09
C_i1800_j0,0,benign_external,147.8,6,0.0,4551.604991861096,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,66.0,511.0,147.8,160.8383038955584,1478.0,0.0002441141340467665,10.0,25868.96
C_i1800_j0,0,benign_external,147.8,6,0.0,4407.17032678365,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,66.0,511.0,147.8,160.8383038955584,1478.0,0.00025211440192328557,10.0,25868.96
